tpp_australian_labor_party_percentage, tpp_swing, total_formal_votes, tpp_australian_labor_party_votes, tpp_liberal_national_coalition_percentage, tpp_liberal_national_coalition_votes, division_name, polling_place_name, polling_place_id
50.99,-3.43,1167,595,49.01,572,"McEwen","New Gisborne","3317"
51.89,-4.59,715,371,48.11,344,"McEwen","Panton Hill","3395"
57.35,-2.27,1599,917,42.65,682,"McEwen","Riddell","3322"
55.89,-4.75,1900,1062,44.11,838,"McEwen","Romsey","3323"
65.12,-1.9,691,450,34.88,241,"McEwen","St Andrews","3403"
56.33,-1.57,1241,699,43.67,542,"McEwen","Sunbury","3327"
50.29,7.65,9636,4846,49.71,4790,"McEwen","Sunbury Central PPVC","82784"
59.81,1.27,1458,872,40.19,586,"McEwen","Sunbury East","11515"
62.15,1.46,1366,849,37.85,517,"McEwen","Sunbury Heights","11516"
61.53,-3.93,1006,619,38.47,387,"McEwen","Sunbury North","3329"
60.21,-3.6,1973,1188,39.79,785,"McEwen","Sunbury West","3330"
53.2,-2.02,7953,4231,46.8,3722,"McEwen","Sunbury West PPVC","58636"
56.44,8.78,388,219,43.56,169,"McEwen","Wallan Central","4370"
54.72,1.36,7115,3893,45.28,3222,"McEwen","Wallan PPVC","83416"
63.12,-2.79,1082,683,36.88,399,"McEwen","Wallan South","65451"
63.53,-0.82,1179,749,36.47,430,"McEwen","Wallan Wallan","4371"
53.97,1.81,882,476,46.03,406,"McEwen","Wandong","4372"
48.82,2.9,1858,907,51.18,951,"McEwen","Whittlesea","4374"
54.15,-3.25,530,287,45.85,243,"McEwen","Whittlesea Central","83308"
48.28,9.76,87,42,51.72,45,"McEwen","Wollert","4375"
48.0,0.08,200,96,52.0,104,"McEwen","Yan Yean","4377"
